Wavefront
Acquisition 	2015/07/10 15:50:17,301
Save 	2015/07/10 15:50:30,335

ASO Size : 40 x 32; ASO Step : 114,055138 um x 113,922546 um
Selection : Tilt X 0; Tilt Y 0; Focus 0; Astig 0° 1; Astig 45° 1; Coma 0° 1; Coma 90° 1; Spherical 1
Unity : Microns
Area Size : 40 x 32; Area Step : 114,055138 um x 113,922546 um
																																							
																																							
														-0,056012	-0,081300	-0,098376																							
									0,174444	0,144408	0,108957	0,071178	0,034425	0,001767	-0,024370	-0,042406	-0,051692	-0,052529	-0,046115	-0,034454	-0,020218																		
								0,224298	0,204249	0,175779	0,141474	0,104725	0,069007	0,037397	0,012273	-0,004847	-0,013388	-0,013716	-0,007113	0,004295	0,017638	0,029445	0,035848	0,032882															
							0,233606	0,227403	0,210640	0,184775	0,152780	0,118215	0,084593	0,054971	0,031694	0,016259	0,009261	0,010374	0,018375	0,031176	0,045890	0,058923	0,066121	0,062999	0,045103														
							0,215028	0,213398	0,200290	0,177636	0,148610	0,116819	0,085741	0,058382	0,037063	0,023308	0,017800	0,020355	0,029927	0,044610	0,061664	0,077551	0,088029	0,088317	0,073382	0,038402													
						0,170435	0,185276	0,188012	0,178745	0,159653	0,133957	0,105191	0,076735	0,051513	0,031825	0,019258	0,014638	0,018007	0,028598	0,044810	0,064186	0,083405	0,098313	0,104027	0,095158	0,066195	0,012136												
						0,129567	0,149074	0,155956	0,150633	0,135339	0,113188	0,087545	0,061621	0,038228	0,019642	0,007531	0,002913	0,006114	0,016729	0,033559	0,054547	0,076721	0,096165	0,108068	0,106876	0,086615	0,041451	-0,033455											
						0,086743	0,110203	0,121032	0,119747	0,108458	0,090042	0,067596	0,044103	0,022223	0,004198	-0,008215	-0,013784	-0,011852	-0,002405	0,013833	0,035295	0,059462	0,082785	0,100667	0,107560	0,097227	0,063230	-0,000265	-0,097296										
						0,044806	0,071583	0,086191	0,089051	0,081996	0,067545	0,048441	0,027372	0,006810	-0,011063	-0,024407	-0,031766	-0,032130	-0,025033	-0,010675	0,009929	0,034792	0,060827	0,083774	0,098234	0,097877	0,075876	0,025648	-0,057994										
					-0,032854	0,005836	0,035319	0,053543	0,060664	0,058101	0,047915	0,032411	0,013920	-0,005321	-0,023222	-0,037879	-0,047621	-0,051089	-0,047350	-0,036058	-0,017642	0,006496	0,033800	0,060435	0,081273	0,090041	0,079707	0,043176	-0,025612										
					-0,068034	-0,028792	0,002756	0,024385	0,035850	0,038047	0,032484	0,020956	0,005375	-0,012306	-0,030132	-0,046169	-0,058561	-0,065615	-0,065947	-0,058668	-0,043609	-0,021566	0,005478	0,034180	0,059773	0,076168	0,076295	0,052757	-0,001108										
					-0,096805	-0,058315	-0,025454	-0,000745	0,015055	0,022234	0,021671	0,014582	0,002405	-0,013249	-0,030607	-0,047755	-0,062691	-0,073434	-0,078180	-0,075523	-0,064716	-0,045950	-0,020618	0,008466	0,036964	0,059075	0,067835	0,055740	0,015782										
					-0,118767	-0,082470	-0,049231	-0,021962	-0,002000	0,010267	0,015029	0,012872	0,004699	-0,008273	-0,024511	-0,042179	-0,059189	-0,073327	-0,082427	-0,084616	-0,078608	-0,064015	-0,041652	-0,013787	0,015716	0,041423	0,056604	0,053827	0,025976										
					-0,133814	-0,101344	-0,068915	-0,039868	-0,016164	0,001096	0,011377	0,014587	0,011049	0,001528	-0,012743	-0,030072	-0,048360	-0,065232	-0,078231	-0,085090	-0,084045	-0,074180	-0,055762	-0,030521	-0,001825	0,025325	0,044540	0,048626	0,030589										
					-0,141990	-0,115198	-0,085060	-0,055345	-0,028637	-0,006759	0,009010	0,017872	0,019532	0,014251	0,002898	-0,013052	-0,031569	-0,050203	-0,066300	-0,077283	-0,080990	-0,076047	-0,062224	-0,040741	-0,014461	0,012090	0,032960	0,041347	0,030605	-0,004209									
					-0,143348	-0,124279	-0,098214	-0,069298	-0,040697	-0,014931	0,005985	0,020539	0,027787	0,027446	0,019955	0,006501	-0,011044	-0,030253	-0,048374	-0,062620	-0,070531	-0,070359	-0,061444	-0,044538	-0,022010	0,002123	0,022434	0,032655	0,026707	0,000263									
					-0,137843	-0,128652	-0,108697	-0,082393	-0,053401	-0,024878	0,000464	0,020413	0,033367	0,038461	0,035657	0,025771	0,010433	-0,008058	-0,026958	-0,043383	-0,054682	-0,058831	-0,054819	-0,042983	-0,025220	-0,005010	0,012816	0,022673	0,019265	-0,000814									
					-0,125294	-0,128080	-0,116413	-0,094809	-0,067294	-0,037552	-0,008921	0,015726	0,034143	0,044864	0,047327	0,041916	0,029927	0,013431	-0,004948	-0,022350	-0,036043	-0,043831	-0,044442	-0,037859	-0,025530	-0,010383	0,003429	0,011145	0,008473	-0,006753									
					-0,105465	-0,122008	-0,120742	-0,106060	-0,082155	-0,053092	-0,022721	0,005501	0,028719	0,044874	0,052847	0,052536	0,044822	0,031455	0,014823	-0,002349	-0,017367	-0,027970	-0,032712	-0,031287	-0,024718	-0,015362	-0,006615	-0,002266	-0,005365	-0,016512									
						-0,109699	-0,120576	-0,114924	-0,096855	-0,070606	-0,040380	-0,010105	0,016824	0,037785	0,051101	0,056140	0,053308	0,043942	0,030094	0,014245	-0,001063	-0,013604	-0,021846	-0,025251	-0,024441	-0,021170	-0,017993	-0,017562	-0,021440	-0,028309									
						-0,090602	-0,114551	-0,119570	-0,109367	-0,088088	-0,060077	-0,029574	-0,000402	0,024316	0,042368	0,052581	0,054837	0,049991	0,039675	0,026021	0,011326	-0,002315	-0,013360	-0,021085	-0,025722	-0,028381	-0,030670	-0,033927	-0,037955	-0,039146									
						-0,065007	-0,101554	-0,117920	-0,117012	-0,102553	-0,078756	-0,049962	-0,020264	0,006818	0,028597	0,043374	0,050494	0,050280	0,043878	0,032997	0,019603	0,005585	-0,007559	-0,018954	-0,028431	-0,036395	-0,043380	-0,049204	-0,051612										
						-0,035102	-0,081604	-0,108370	-0,117029	-0,110470	-0,092438	-0,067101	-0,038612	-0,010731	0,013477	0,031848	0,043202	0,047325	0,044833	0,036964	0,025298	0,011468	-0,003107	-0,017405	-0,030818	-0,042961	-0,053134	-0,059397	-0,057100										
							-0,057177	-0,090932	-0,107543	-0,108572	-0,096884	-0,076129	-0,050249	-0,023034	0,002232	0,023020	0,037691	0,045514	0,046583	0,041646	0,031876	0,018634	0,003260	-0,013045	-0,029171	-0,043808	-0,054834	-0,058266	-0,046680										
								-0,068920	-0,089053	-0,095164	-0,088733	-0,072476	-0,049775	-0,024173	0,001040	0,023133	0,040119	0,050831	0,054885	0,052569	0,044674	0,032313	0,016788	-0,000449	-0,017668	-0,032468	-0,041058	-0,037082											
										-0,072021	-0,067209	-0,053382	-0,032935	-0,008813	0,015977	0,038726	0,057277	0,070161	0,076621	0,076570	0,070488	0,059324	0,044434	0,027642	0,011469														
											-0,036516	-0,020090	0,001378	0,025983	0,051363	0,075137	0,095228	0,110067	0,118698	0,120804	0,116696	0,107293	0,094167	0,079700															
														0,078186	0,107394	0,134319	0,157293	0,174933	0,186331	0,191168																			
																																							
																																							
